document,document_id,arm,arm_id,control,Biochemical verification,CBT,Motivational Interviewing,brief advise,1.1.Goal setting,1.2 Problem solving,1.4 Action planning,2.2 Feedback on behaviour,2.3 Self-monitoring of behavior,3.1 Social support,4.1 Instruction on how to perform the behavior,4.5. Advise to change behavior,5.1 Information about health consequences,5.3 Information about social and environmental consequences,11.1 Pharmacological support,11.2 Reduce negative emotions,Group-based,Face to face,phone,Website / Computer Program / App,Patch,Somatic,gum,e_cigarette,inhaler,lozenge,nasal_spray,placebo,nrt,Pill,bupropion,varenicline,Printed material,Digital content type,text messaging,Health Professional,doctor,nurse,pychologist,aggregate patient role,Mean age,Proportion identifying as female gender,Mean number of times tobacco used,Country of intervention,healthcare facility,Pharmaceutical company funding,Pharmaceutical company competing interest,Individual-level analysed,Combined follow up,Abstinence type,Abstinence: Continuous ,Abstinence: Point Prevalence ,Manually added follow-up duration value,Manually added follow-up duration units,NEW Outcome value
2016 EAGLES outcome paper.pdf,252976,Psychiatric & Bupropion,24,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,46.7,62,20.5,multinational,0,1,1,1033,12.00,C,1,0,12,weeks,13.7
2016 EAGLES outcome paper.pdf,252976,Psychiatric & Nicotine Patch,25,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,47.6,62,20.8,multinational,0,1,1,1025,12.00,C,1,0,12,weeks,13
2016 EAGLES outcome paper.pdf,252976,Non-psychiatric & varencline,30,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,45.8,48,20.8,multinational,0,1,1,1005,12.00,C,1,0,12,weeks,25.5
2016 EAGLES outcome paper.pdf,252976,Psychiatric & Varenicline,23,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,47.2,62,20.6,multinational,0,1,1,1032,12.00,C,1,0,12,weeks,18.3
2016 EAGLES outcome paper.pdf,252976,Psychiatric & Placebo,26,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,46.9,62,20.7,multinational,0,1,1,1026,12.00,C,1,0,12,weeks,8.3
Abdullah 2005.pdf,296253,Intervention group,17,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-,15.8,14.5,China,0,0,0,444,26.10,PP,0,1,,,15.3
Abdullah 2005.pdf,296253,Control group,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,16.1,14.5,China,0,0,0,459,26.10,PP,0,1,,,7.4
Abrantes 2014.pdf,263048,Aerobic Exercise - AE,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,47.1,63.3,20.3,-,0,0,0,30,52.20,PP,0,1,12,months,26.7
Abrantes 2014.pdf,263048,Health education control - HEC,4,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,47.5,67.7,19.4,-,0,0,0,31,52.20,PP,0,1,12,months,12.9
Abroms 2008.pdf,263049,X-Pack,6,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19.8,47.9,9.9,-,0,0,0,48,26.10,PP,0,1,6,months,10.2
Abroms 2008.pdf,263049,Clearing the Air (CTA),7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.8,42.9,8,-,0,0,0,35,26.10,PP,0,1,6,months,5.7
Abroms 2014.pdf,263050,Control,118,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5,62.8,16.86,U.S.,0,0,0,241,26.10,PP,0,1,6,months,5
Abroms 2014.pdf,263050,Text2Quit,117,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,35.9,68.7,17.68,U.S.,0,0,0,262,26.10,PP,0,1,6,months,11.1
Abroms 2017.pdf,436345,Intervention,2589,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.68,-,7.48,U.S.,0,0,1,250,13.05,PP,0,1,,,15.6
Abroms 2017.pdf,436345,Control,2590,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.95,-,7.25,U.S.,0,0,1,247,13.05,PP,0,1,,,10.93
Ahluwalia 2006 (c) primary paper .pdf,263051,Nicotine Gum + Motivational Interviewing (MI),119,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,45.2,66.1,7.8,-,0,1,1,189,26.00,PP,0,1,26,weeks,10.1
Ahluwalia 2006 (c) primary paper .pdf,263051,Placebo Gum + HE,122,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45.2,68.1,7.3,-,0,1,1,188,26.00,PP,0,1,26,weeks,15.4
Ahluwalia 2006 (c) primary paper .pdf,263051,Placebo Gum + MI,121,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46.5,65.1,7.5,-,0,1,1,189,26.00,PP,0,1,26,weeks,6.9
Ahluwalia 2006 (c) primary paper .pdf,263051,Nicotine Gum + Health Education (HE),120,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,43.5,68.3,7.5,-,0,1,1,189,26.00,PP,0,1,26,weeks,18
Aimer 2017.pdf,423105,Control,2058,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,57,47,16.4,New Zealand,0,0,1,19,26.10,C,1,0,,,21
Aimer 2017.pdf,423105,Intervention,2057,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,56,63,16.6,New Zealand,0,0,1,19,26.10,C,1,0,,,26
Alessi 2017.pdf,436347,mHealth monitoring,2614,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,45.5,60,20,-,0,0,0,45,24.00,PP,0,1,,,16.3
Alessi 2017.pdf,436347,mHealth reinforcement,2613,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,44.4,55.6,17.6,-,0,0,0,45,24.00,PP,0,1,,,21.1
Ames 2007.pdf,263055,Brief office (control),126,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.8,56,18.2,-,0,0,0,99,52.00,PP,0,1,52,weeks,11
Ames 2007.pdf,263055,Expressive writing plus brief office,125,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.9,57,18.1,-,0,0,0,97,52.00,PP,0,1,52,weeks,11
Ames 2014.pdf,263056,Standard intervention,128,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.4,43,13.4,-,0,0,0,47,26.10,PP,0,1,6,months,9
Ames 2014.pdf,263056,Integrated intervention,127,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.1,46,13.3,-,0,0,0,48,26.10,PP,0,1,6,months,21
An 2006.pdf,296254,Telephone care,452,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,57.2,8.40000000000001,26.2,-,1,0,0,407,52.20,C,1,0,,,13
An 2006.pdf,296254,Standard care,453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,57.1,9.5,26.7,-,1,0,0,414,52.20,C,1,0,,,4.1
Anderson 2018.pdf,437478,NP,2275,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46,68,17.4,United States,0,0,0,1405,30.45,C,1,0,,,10.3
Anderson 2018.pdf,437478,NP+FI,2274,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.5,67.7,17.1,United States,0,0,0,1407,30.45,C,1,0,,,13.2
Anderson 2018.pdf,437478,UC,2276,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1,67.2,17.7,United States,0,0,0,1004,30.45,C,1,0,,,9
Auguston 2017.pdf,436348,Low-frequency text contact (LFTC),2622,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-,-,China,0,0,0,4000,26.10,PP,0,1,,,27.7
Auguston 2017.pdf,436348,High-frequency text contact (HFTC),2621,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-,-,China,0,0,0,4000,26.10,PP,0,1,,,27.7
Aung 2019.pdf,437433,Control,2217,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-,28.75,-,Thailand,0,0,0,159,52.20,PP,0,1,,,11.32
Aung 2019.pdf,437433,Intervention,2216,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,-,28.93,-,Thailand,0,0,0,160,52.20,PP,0,1,,,25.62
Aveyard 2003.pdf,296255,Nurse,454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,42,57.1,-,-,1,0,0,413,12.00,pp,0,1,,,3.4
Aveyard 2003.pdf,296255,Control,457,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,53.2,-,-,0,0,0,690,12.00,pp,0,1,,,2.2
Aveyard 2003.pdf,296255,Phone,455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,57.2,-,-,0,0,0,685,12.00,pp,0,1,,,3.1
Aveyard 2003.pdf,296255,Manual,456,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,55.8,-,-,0,0,0,683,12.00,pp,0,1,,,3.4
Aveyard 2007.pdf,296332,Basic,412,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,42.9,52.7,-,UK,0,1,1,469,26.00,C,1,0,,,7.7
Aveyard 2007.pdf,296332,Weekly,411,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,44.3,50.2,-,UK,0,1,1,456,26.00,C,1,0,,,6.6
Aytemur 2012.pdf,321085,Control group,683,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,46.3,53.8,20,-,0,0,0,52,26.10,NCS,0,0,,,38.5
Aytemur 2012.pdf,321085,Psychodrama group,682,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,48,68.8,20,-,0,0,0,61,26.10,NCS,0,0,,,50.8
Baggett 2018.pdf,437480,Control arm,2278,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45.1,56,16.2,United States,1,0,1,25,8.00,C,1,0,,,8
Baggett 2018.pdf,437480,Incentive arm,2277,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48.1,48,15.6,United States,1,0,1,25,8.00,C,1,0,,,48
Bailey 2013.pdf,319572,Non-extended treatment,620,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,-,97.1,-,0,0,0,70,26.00,PP,0,1,,,7
Bailey 2013.pdf,319572,Extended treatment,619,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,-,97.1,-,0,0,0,71,26.00,PP,0,1,,,21
Baker 2006 (c) primary paper.pdf,263058,motivational interviewing/CBT with nicotine replacement therapy,129,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,37.24,-,-,Australia,0,1,1,108,52.20,C,1,0,12,months,3.4
Baker 2006 (c) primary paper.pdf,263058,Control,130,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.24,-,-,Australia,0,1,1,109,52.20,C,1,0,12,months,0.7
Baker 2015.pdf,423106,Healthy Lifestyles condition,2059,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,41.6,41,29.9,Australia,0,1,1,122,52.20,PP,0,1,,,6.6
Baker 2015.pdf,423106,Telephone condition,2060,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,41.6,41,27.2,Australia,0,1,1,113,52.20,PP,0,1,,,6.2
Baker 2016.pdf,423132,Varenicline only,1942,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,48,52,17,United States,0,0,1,424,52.00,PP,0,1,,,19.1
Baker 2016.pdf,423132,Nicotine patch only,1943,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,48,52,17,United States,0,0,1,241,52.00,PP,0,1,,,20.8
Baker 2016.pdf,423132,Nicotine patch + nicotine lozenge (C-NRT),1941,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,48,52,17,United States,0,0,1,421,52.00,PP,0,1,,,20.2
Baker_A_ 2018.pdf,437481,Telephone,2280,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42.7,41,27.2,-,0,0,0,235,156.60,PP,0,1,,,8
Baker_A_ 2018.pdf,437481,Healthy Lifestyles,2279,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40.6,42,29.9,-,0,0,0,235,156.60,PP,0,1,,,11
Baker_B_2018.pdf,437482,Control,2303,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26.1,-,1,-,0,0,0,509,26.10,PP,0,1,6,months,9.2
Baker_B_2018.pdf,437482,Incentive,2302,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26.7,-,1,-,0,0,0,505,26.10,PP,0,1,6,months,14.7
Baldassarri 2018.pdf,437483,Non-nicotine EC,2314,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,53.8,65,17,United States,0,0,1,20,24.00,PP,0,1,,,10
Baldassarri 2018.pdf,437483,Nicotine EC,2313,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,52.2,40,17,United States,0,0,1,20,24.00,PP,0,1,,,20
Baskerville 2018.pdf,436349,Crush The Crave (CTC),2623,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,45.94,-,Canada,0,0,0,820,26.10,C,1,0,,,12.6
Baskerville 2018.pdf,436349,On the Road to Quitting (OnRQ) control,2624,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-,45.94,-,Canada,0,0,0,779,26.10,C,1,0,,,12.1
Battaglia 2016.pdf,423478,MI-based home telehealth program,1963,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,54.6,16.9,-,-,1,0,0,89,26.10,PP,0,1,,,23.6
Battaglia 2016.pdf,423478,Usual care,1964,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,56.6,10.5,-,-,1,0,0,86,26.10,PP,0,1,,,23.3
Begh 2015.pdf,423107,Intervention,2061,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.5,-,21.8,UK,0,0,1,60,26.10,C,1,0,,,16.7
Begh 2015.pdf,423107,Control,2062,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,-,19.8,UK,0,0,1,58,26.10,C,1,0,,,15.5
Berg 2014.pdf,423040,Control,2010,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.16,67.8,15.03,US,0,0,0,59,12.00,PP,0,1,12,weeks,16.7
Berg 2014.pdf,423040,Intervention,2009,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.16,66.7,3.56,US,0,0,0,63,12.00,PP,0,1,12,weeks,18.9
Berman 1995.pdf,296382,Intervention,751,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36.7,50.9,-,-,0,0,0,348,52.20,C,1,0,,,6.4
Berman 1995.pdf,296382,Control,752,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36.7,50.9,-,-,0,0,0,348,52.20,C,1,0,,,7.3
Bernard 2015.pdf,436350,Exercise and counselling,2591,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,48.5,48.6,21.9,France,0,0,1,35,52.00,C,1,0,,,20
Bernard 2015.pdf,436350,Control,2592,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,48.4,68.6,21,France,0,0,1,35,52.00,C,1,0,,,11.4
Berndt 2014.pdf,423108,face-to-face counseling + NRT,2063,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,56.54,29.3,22.19,Netherlands,0,0,0,155,26.10,C,1,0,,,40.6
Berndt 2014.pdf,423108,control,2065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,56.09,25.3,19.71,Netherlands,0,0,0,235,26.10,C,1,0,,,31.5
Berndt 2014.pdf,423108,telephone counseling + NRT,2064,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,55.31,26.9,21.13,Netherlands,0,0,0,218,26.10,C,1,0,,,42.2
BinDhim 2018.pdf,436351,Intervention,2632,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,57,-,multinational,0,0,0,342,26.10,C,1,0,,,10.2
