,doc_id,arm_id,doc,arm,"(6452745, '1.1.Goal setting (behavior)')","(6452746, '1.2 Problem solving')","(6452748, '1.4 Action planning')","(6452752, '1.8 Behavioral contract')","(6452948, '11.1 Pharmacological support')","(6452949, '11.2 Reduce negative emotions')","(6452956, '12.3 Avoidance/reducing exposure to cues for the behavior')","(6452959, '12.5 Adding objects to the environment')","(6452960, '12.6 Body changes')","(6452963, '13.2 Framing/reframing')","(6452756, '2.2 Feedback on behaviour')","(6452757, '2.3 Self-monitoring of behavior')","(6452761, '2.7 Feedback on outcome(s) of behavior')","(6452763, '3.1 Social support (unspecified)')","(6452764, '3.2 Social support (practical)')","(6452831, '4.1 Instruction on how to perform the behavior')","(6452832, '4.2 Information about Antecedents')","(6452836, '4.5. Advise to change behavior')","(6452838, '5.1 Information about health consequences')","(6452840, '5.3 Information about social and environmental consequences')","(6452853, '7.3 Reduce prompts/cues')","(6452861, '8.2 Behavior substitution')","(6452932, '9.1 Credible source')","(6452933, '9.2 Pros and cons')","('Abstinence: Continuous ', 'Abstinence: Continuous ')","('Abstinence: Point Prevalence ', 'Abstinence: Point Prevalence ')","(6451788, 'Biochemical verification')","('Combined follow up (<= 1 month)', 'Combined follow up (<= 1 month)')","('Combined follow up (<= 8 months)', 'Combined follow up (<= 8 months)')","('Combined follow up (<= 15 month)', 'Combined follow up (<= 15 month)')","('Combined follow up (<= 20 months)', 'Combined follow up (<= 20 months)')","('Combined follow up (<= 28 months)', 'Combined follow up (<= 28 months)')","('Combined follow up (Reported)', 'Combined follow up (Reported)')","(6080691, 'Digital content type')","(6080686, 'Face to face')","(6080701, 'Group-based')","(6080704, 'Health Professional')","('Individual-level analysed (<= 300)', 'Individual-level analysed (<= 300)')","('Individual-level analysed (<= 800)', 'Individual-level analysed (<= 800)')","('Individual-level analysed (<= 2500)', 'Individual-level analysed (<= 2500)')","('Individual-level analysed (<= 10000)', 'Individual-level analysed (<= 10000)')","('Individual-level analysed (<= 30000)', 'Individual-level analysed (<= 30000)')","('Mean age (adolecent)', 'Mean age (adolecent)')","('Mean age (young adult)', 'Mean age (young adult)')","('Mean age (adult)', 'Mean age (adult)')","('Mean age (elderly)', 'Mean age (elderly)')","('Mean number of times tobacco used (<= 10)', 'Mean number of times tobacco used (<= 10)')","('Mean number of times tobacco used (<= 15)', 'Mean number of times tobacco used (<= 15)')","('Mean number of times tobacco used (<= 20)', 'Mean number of times tobacco used (<= 20)')","('Mean number of times tobacco used (<= 25)', 'Mean number of times tobacco used (<= 25)')","('Mean number of times tobacco used (Reported)', 'Mean number of times tobacco used (Reported)')","(6823487, 'Motivational Interviewing')","(6080694, 'Patch')","(6830268, 'Pharmaceutical company competing interest')","(6830264, 'Pharmaceutical company funding')","(6080695, 'Pill')","(6080688, 'Printed material')","('Proportion identifying as female gender (<= 15)', 'Proportion identifying as female gender (<= 15)')","('Proportion identifying as female gender (<= 35)', 'Proportion identifying as female gender (<= 35)')","('Proportion identifying as female gender (<= 45)', 'Proportion identifying as female gender (<= 45)')","('Proportion identifying as female gender (<= 60)', 'Proportion identifying as female gender (<= 60)')","('Proportion identifying as female gender (<= 99)', 'Proportion identifying as female gender (<= 99)')","('Proportion identifying as male gender (<= 35)', 'Proportion identifying as male gender (<= 35)')","('Proportion identifying as male gender (<= 45)', 'Proportion identifying as male gender (<= 45)')","('Proportion identifying as male gender (<= 60)', 'Proportion identifying as male gender (<= 60)')","('Proportion identifying as male gender (<= 99)', 'Proportion identifying as male gender (<= 99)')","(6080693, 'Somatic')","(6080692, 'Website / Computer Program / App')","('aggregate patient role', 'aggregate patient role')","('brief advice', 'brief advice')","('bupropion', 'bupropion')","('control', 'control')","('doctor', 'doctor')","('gum', 'gum')","('healthcare facility', 'healthcare facility')","('lozenge', 'lozenge')","('nrt', 'nrt')","('nurse', 'nurse')","('phone', 'phone')","('placebo', 'placebo')","('psychologist', 'psychologist')","('text messaging', 'text messaging')","('varenicline', 'varenicline')","('External stimuli BCT', 'External stimuli BCT')","('Influence of others BCT', 'Influence of others BCT')","('Habit BCT', 'Habit BCT')","('Monitoring BCT', 'Monitoring BCT')","('Goal directed BCT', 'Goal directed BCT')","('Social support BCT', 'Social support BCT')","('Environmental restructuring BCT', 'Environmental restructuring BCT')","('Consequences BCT', 'Consequences BCT')","('Mental representation BCT', 'Mental representation BCT')","('Personal resources BCT', 'Personal resources BCT')","('Outcome', 'Outcome')"
12,263244,357,Rodondi 2012 primary paper.pdf,ultrasonographic screening (US),1,,,,1,,,,,,,,,1,,,,,,1,,,,,0,1,1,0,0,1,1,1,1,0,1,,,0.66,1,1,1,1,0,0,1,1,0,0,0,0,0,,1,,,,1,0,0,0.72,1,1,0,0,1,1,,,,,,,,,,,1,,1,,,0,,0,0,0,0,1,1,0,1,0,0,24.9
13,263244,358,Rodondi 2012 primary paper.pdf,Control,1,,,,1,,,,,,,,,1,,,,,,1,,,,,0,1,1,0,0,1,1,1,1,0,1,,,0.62,1,1,1,1,0,0,1,1,0,0,0,0,0,,1,,,,1,0,0,0,0,0,0,0,0,0,,,,,,1,,,,,1,,1,,,0,,0,0,0,0,1,1,0,1,0,0,22.1
14,296410,782,Cummings 1988.pdf,Less structured plan + cold turkey,,1,,1,,1,,,1,,,1,,,,1,,1,1,1,,,,1,0,1,,0,1,1,1,1,1,0,,,,0,0,1,1,1,0,0,1,1,0,0,0,0,1,,,,,,1,0,0,0,0,1,1,1,1,1,,,,,,,,,,,0,,,,,0,,0,1,0,1,1,0,0,1,1,1,18
15,296410,781,Cummings 1988.pdf,Less structured plan + gradual reduction,1,1,,1,,1,1,,1,,,1,,,,1,,1,1,1,1,,,1,0,1,,0,1,1,1,1,1,0,,,,0,0,1,1,1,0,0,1,1,0,0,0,0,1,,,,,,1,0,0,0,0,1,1,1,1,1,,,,,,,,,,,0,,,,,0,,1,1,0,1,1,0,1,1,1,1,18
16,296410,783,Cummings 1988.pdf,Control,,,,,,,,,,,,,,,,,,,1,,,,,,0,1,,0,1,1,1,1,1,0,,,,0,0,1,1,1,0,0,1,1,0,0,0,0,1,,,,,,1,0,0,0,0,1,1,1,1,1,,,,,,1,,,,,0,,,,,0,,0,0,0,0,0,0,0,1,0,0,18
17,296410,780,Cummings 1988.pdf,Day-by-day plan + cold turkey,,1,,1,,1,,,1,,,1,,,,1,,1,1,1,,,,1,0,1,,0,1,1,1,1,1,0,,,,0,0,1,1,1,0,0,1,1,0,0,0,0,1,,,,,,1,0,0,0,0,1,1,1,1,1,,,,,,,,,,,0,,,,,0,,0,1,0,1,1,0,0,1,1,1,18
18,296410,779,Cummings 1988.pdf,Day-by-day plan + gradual reduction,1,1,,1,,1,1,,1,,,1,,,,1,,1,1,1,1,,,1,0,1,,0,1,1,1,1,1,0,,,,0,0,1,1,1,0,0,1,1,0,0,0,0,1,,,,,,1,0,0,0,0,1,1,1,1,1,,,,,,,,,,,0,,,,,0,,1,1,0,1,1,0,1,1,1,1,18
19,296274,494,Hollis TC 2007.pdf,Brief no NRT,1,,,,,,1,,,,,,,1,,1,,,,,,,,,0,1,,0,0,1,1,1,1,0,,,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,,,,,,1,0,0,0,1,1,0,1,1,1,,,,,,,,,,,0,,1,,,0,,0,0,0,0,1,1,1,0,1,0,11.7
20,296274,489,Hollis TC 2007.pdf,Intensive with Nicotine Replacement Therapy (NRT),,1,,,1,,,,,,,,,1,,,,,,,,,,,0,1,,0,0,1,1,1,1,0,,,1,0,0.79,1,1,1,0,0,1,1,0,0,0,1,1,,1,,,,1,0,0,0,1,1,0,1,1,1,,,,,,,,,,,1,,1,,,0,,0,0,0,0,1,1,0,0,0,0,21.2
21,296274,493,Hollis TC 2007.pdf,Moderate no NRT,,,,,,,,,,,,,,1,,,,,,,,,,,0,1,,0,0,1,1,1,1,0,,,1,0,0.82,1,1,1,0,0,1,1,0,0,0,1,1,,,,,,1,0,0,0,1,1,0,1,1,1,,,,,,,,,,,0,,1,,,0,,0,0,0,0,0,1,0,0,0,0,13.8
22,296274,491,Hollis TC 2007.pdf,Brief with NRT,1,,,,1,,1,,,,,,,1,,1,,,,,,,,,0,1,,0,0,1,1,1,1,0,,,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,,1,,,,1,0,0,0,0.94,1,0.06,1,1,1,,,,,,,,,,,1,,1,,,0,,0,0,0,0,1,1,1,0,1,0,17.1
23,296274,492,Hollis TC 2007.pdf,Intensive no NRT,,1,,,,,,,,,,,,1,,,,,,,,,,,0,1,,0,0,1,1,1,1,0,,,1,0,0.8,1,1,1,0,0,1,1,0,0,0,1,1,,,1,1,,1,0,0,0,0.56,1,0.44,1,1,1,,,,,,,,,,,0,,1,,,0,,0,0,0,0,1,1,0,0,0,0,14.3
24,296274,490,Hollis TC 2007.pdf,Moderate with NRT,,,,,1,,,,,,,,,1,,,,,,,,,,,0,1,,0,0,1,1,1,1,0,,,1,0,0.85,1,1,1,0,0,1,1,0,0,0,1,1,,1,,,,1,0,0,0,1,1,0,1,1,1,,,,,,,,,,,1,,1,,,0,,0,0,0,0,0,1,0,0,0,0,20.1
25,437470,2312,Shiffman 2019.pdf,Placebo,,,,,,,,,,,,,,1,,,,,,,,,,,1,0,1,0,1,1,1,1,1,0,1,,,1,1,1,1,1,0,0,1,1,1,1,1,1,1,,,1,1,,,0,0,0,1,1,0,0.86,1,1,1,,,,,,,1,,,1,,,1,,0,,0,0,0,0,0,1,0,0,0,0,5.3
26,437470,2311,Shiffman 2019.pdf,Nicotine gum,,,,,1,,,,,,,,,1,,,,,,,,,,,1,0,1,0,1,1,1,1,1,0,1,,,1,1,1,1,1,0,0,1,1,1,1,1,1,1,,,1,1,,,0,0,0,1,1,0,1,1,1,1,,,,,,,1,,,1,,,1,,0,,0,0,0,0,0,1,0,0,0,0,7.2
27,263200,306,Mohiuddin-2007.pdf,Usual care,,,,,,,,,,,,,,1,,,,1,,,,,,,1,0,1,0,0,0,0,1,1,0,1,,,1,1,1,1,1,0,0,1,1,0,0,0,1,1,,,,,,1,0,0,1,1,1,0,0,1,1,,,,,,1,,,,,0,,,,,0,,0,1,0,0,0,1,0,0,0,0,9
28,263200,305,Mohiuddin-2007.pdf,Intervention,,1,,,1,,,,,,,,,1,,,,1,,,,,,,1,0,1,0,0,0,0,1,1,0,1,1,,1,1,1,1,1,0,0,1,1,0,0,0,0,1,,,,,,1,0,1,1,1,1,0,0,0,1,1,,,,1,,,,,,1,,,,,0,,1,1,0,0,1,1,0,0,0,0,39
29,263249,365,Secades Villa 2014.pdf,cognitive behavioural therapy + contingency management (CBT + CM),,1,,,,,,,,,,,1,1,,,,,,,,,,,1,0,1,0,1,1,1,1,1,0,,1,,1,1,1,1,1,0,0,1,1,0,0,0,1,1,,,,,,,0,0,0,0,1,0.82,1,1,1,,,,,,,,,,,0,,,,1,0,,1,0,0,1,1,1,0,1,0,0,39.5
30,263249,366,Secades Villa 2014.pdf,Cognitive behavioural therapy (CBT),,1,,,,,,,,,,,1,1,,,,,,,,,,,1,0,1,0,1,1,1,1,1,0,,1,,1,1,1,1,1,0,0,1,1,0,0,0,1,1,,,,,,,0,0,0,1,1,0.82,1,1,1,,,,,,,,,,,0,,,,1,0,,1,0,0,1,1,1,0,0,0,0,26.5
31,263058,129,Baker 2006 (c) primary paper.pdf,motivational interviewing/CBT with nicotine replacement therapy,1,1,1,,1,1,,,,1,,,,,,1,,,1,,,,,1,1,0,1,0,0,1,1,1,1,0,1,,,1,1,1,1,1,0,0.552,1,1,0,0,0,0,0,1,1,1,1,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,,,,0,,0,0,0,0,1,0,0,1,1,1,3.4
32,263058,130,Baker 2006 (c) primary paper.pdf,Control,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,1,0,,,,1,1,1,1,1,0,0.552,1,1,0,0,0,0,0,,,1,1,,1,0,0,0,0,0,0,0,0,0,,,,,,1,,,,,0,,,,,0,,0,0,0,0,0,0,0,0,0,0,0.7
33,263157,259,Kahler 2008 (c) primary paper.pdf,Standard smoking cessation integrating brief alcohol intervention (ST-BI),,1,,,1,,1,,,,,,,1,,,1,,,1,,,,,0,1,,0,1,1,1,1,1,0,1,,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,,1,,,,,0,0,1,1,1,0,0,1,1,,,,,,1,,,,,1,,,,,0,,0,0,0,0,1,1,1,1,1,0,13.7
34,263157,260,Kahler 2008 (c) primary paper.pdf,Standard smoking cessation (ST),,1,,,1,,,,,,,,,1,,,,,,,,,,,0,1,,0,1,1,1,1,1,0,1,,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,,1,,,,,0,0,1,1,1,0,0,1,1,,,,1,,1,,,,,1,,,,,0,,0,0,0,0,1,1,0,0,0,0,12.6
35,319601,672,Scherphof 2014a.pdf,Nicotine patch,,,,,1,,,,,,,,,,,,,,,,,,,,1,0,,0,0,0,0,0,0,0,1,,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,1,,,,,0,0,0,1,1,0,1,1,1,,,,,,,,,,,1,,,,,0,,0,0,0,0,0,0,0,0,0,0,14.8
36,319601,673,Scherphof 2014a.pdf,Placebo patch,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,0,0,0,0,0,0,1,,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,1,,,,,0,0,0.82,1,1,0,0,1,1,,,,,,,,,,,1,,,1,,0,,0,0,0,0,0,0,0,0,0,0,13.1
37,321099,698,Garcia 2000.pdf,Control,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,1,1,0,1,,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,1,,,,,0,,,,,0,,0,0,0,0,1,0,0,0,0,0,2
38,321099,696,Garcia 2000.pdf,5-session,,1,,,,,,,,,,1,,,,,,,,,1,,,,0,1,1,0,0,1,1,1,1,0,1,1,,1,1,1,1,1,0,1,1,1,0,0,0,0.33,1,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,1,0,,1,0,1,1,1,0,0,0,0,0,38.7
39,321099,697,Garcia 2000.pdf,Manual only,,1,,,,,,,,,,1,,,,,,,,,1,,,1,0,1,1,0,0,1,1,1,1,0,,,,1,1,1,1,1,0,0.91,1,1,0,0,0,0.2,1,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,0,,1,0,1,1,1,0,0,1,0,0,15.1
40,321099,695,Garcia 2000.pdf,5-session + manual,,1,,,,,,,,,,1,,,,,,,,,1,,,1,0,1,1,0,0,1,1,1,1,0,1,1,,1,1,1,1,1,0,1,1,1,0,0,0,0.96,1,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,1,0,,1,0,1,1,1,0,0,1,0,0,48
41,321099,694,Garcia 2000.pdf,10-session,,1,,1,,,,,,,,1,,,,,,,,,1,,,,0,1,1,0,0,1,1,1,1,0,1,1,,1,1,1,1,1,0,1,1,1,0,0,0,0,1,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,1,0,,1,0,1,1,1,0,0,0,0,0,16
42,252976,27,2016 EAGLES outcome paper.pdf,Non-psychiatric & Bupropion,1,,,,1,,,,,,,,,1,,,,,,,,,,,1,0,1,0,1,1,1,1,1,0,1,,,0,0,1,1,1,0,0,1,1,0,0,0.4,1,1,,1,1,1,1,,0,0,0.2,1,1,0,0,1,1,,,,,1,,,,,,1,,,,,0,,0,0,0,0,1,1,0,0,0,0,18.8
43,252976,28,2016 EAGLES outcome paper.pdf,Non Psychiatric & Nicotine Patch,1,,,,1,,,,,,,,,1,,,,,,,,,,,1,0,1,0,1,1,1,1,1,0,1,,,0,0,1,1,1,0,0,1,1,0,0,0.2,1,1,,1,1,1,1,,0,0,0,1,1,0,0.2,1,1,,,,,,,,,,,1,,,,,0,,0,0,0,0,1,1,0,0,0,0,18.5
44,252976,29,2016 EAGLES outcome paper.pdf,Non-psychiatric & Placebo,1,,,,,,,,,,,,,1,,,,,,,,,,,1,0,1,0,1,1,1,1,1,0,1,,,0,0,1,1,1,0,0,1,1,0,0,0.5,1,1,,1,1,1,1,,0,0,0,1,1,0,0.2,1,1,,,,,,,,,,,1,,,1,,0,,0,0,0,0,1,1,0,0,0,0,10.5
45,252976,24,2016 EAGLES outcome paper.pdf,Psychiatric & Bupropion,1,,,,1,,,,,,,,,1,,,,,,,,,,,1,0,1,0,1,1,1,1,1,0,1,,,0,0,1,1,1,0,0,1,1,0,0,0.5,1,1,,1,1,1,1,,0,0,0,0.6,1,0.4,1,1,1,,,,,1,,,,,,1,,,,,0,,0,0,0,0,1,1,0,0,0,0,13.7
46,252976,25,2016 EAGLES outcome paper.pdf,Psychiatric & Nicotine Patch,1,,,,1,,,,,,,,,1,,,,,,,,,,,1,0,1,0,1,1,1,1,1,0,1,,,0,0,1,1,1,0,0,1,1,0,0,0.2,1,1,,1,1,1,1,,0,0,0,0.6,1,0.4,1,1,1,,,,,,,,,,,1,,,,,0,,0,0,0,0,1,1,0,0,0,0,13
47,252976,30,2016 EAGLES outcome paper.pdf,Non-psychiatric & varencline,1,,,,1,,,,,,,,,1,,,,,,,,,,,1,0,1,0,1,1,1,1,1,0,1,,,0,0,1,1,1,0,0,1,1,0,0,0.2,1,1,,1,1,1,1,,0,0,0.4,1,1,0,0,1,1,,,,,,,,,,,1,,,,,0,1,0,0,0,0,1,1,0,0,0,0,25.5
48,252976,23,2016 EAGLES outcome paper.pdf,Psychiatric & Varenicline,1,,,,1,,,,,,,,,1,,,,,,,,,,,1,0,1,0,1,1,1,1,1,0,1,,,0,0,1,1,1,0,0,1,1,0,0,0.4,1,1,,1,1,1,1,,0,0,0,0.6,1,0.4,1,1,1,,,,,,,,,,,1,,,,,0,1,0,0,0,0,1,1,0,0,0,0,18.3
49,252976,26,2016 EAGLES outcome paper.pdf,Psychiatric & Placebo,1,,,,,,,,,,,,,1,,,,,,,,,,,1,0,1,0,1,1,1,1,1,0,1,,,0,0,1,1,1,0,0,1,1,0,0,0.3,1,1,,1,1,1,1,,0,0,0,0.6,1,0.4,1,1,1,,,,,,,,,,,1,,,1,,0,,0,0,0,0,1,1,0,0,0,0,8.3
50,252905,68,Segnan_1991_A randomized trial of smoking cessation.pdf,Repeated counselling plus nicotine gum,,,,,1,,,,,,,,,1,,,,,,,,,1,,0,1,1,0,0,1,1,1,1,0,1,,1,0.12,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,1,0,0.66,1,1,1,0,0,0.34,1,1,,,,,,1,1,,,1,,,,,0,,0,1,0,0,0,1,0,0,0,0,7
51,252905,70,Segnan_1991_A randomized trial of smoking cessation.pdf,Minimal intervention,,,,,,,,,,,,,,1,,,,,,,,,1,,0,1,1,0,0,1,1,1,1,0,1,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,1,0,1,1,1,1,0,0,0,1,,,,,,,1,,,,0,,,,,0,,0,1,0,0,0,1,0,0,0,0,4
