document,document_id,arm,arm_id,Outcome value,manually-added outcome value,remove paper,Will be fixable in EPPI - will need to update the JSON file,will need to be fixed via supplementary file merge,Combined follow up,Biochemical verification,CBT,Motivational Interviewing,brief advise,1.1.Goal setting,1.2 Problem solving,1.4 Action planning,2.2 Feedback on behaviour,2.3 Self-monitoring of behavior,3.1 Social support,4.1 Instruction on how to perform the behavior,4.5. Advise to change behavior,5.1 Information about health consequences,5.3 Information about social and environmental consequences,11.1 Pharmacological support,11.2 Reduce negative emotions,Group-based,Face to face,phone,Website / Computer Program / App,Patch,Somatic,gum,e_cigarette,inhaler,lozenge,nasal_spray,placebo,nrt,Pill,bupropion,varenicline,Printed material,Digital content type,text messaging,Health Professional,doctor,nurse,pychologist,aggregate patient role,Mean age,Proportion identifying as female gender,Mean number of times tobacco used,Country of intervention,healthcare facility,Pharmaceutical company funding,Pharmaceutical company competing interest,Individual-level analysed
Abroms 2014.pdf,263050,Text2Quit,117,11.1,,,,,-,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,35.9,68.7,17.68,U.S.,0,0,0,262
Abroms 2017.pdf,436345,Intervention,2589,15.6,,,,,13.05,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.68,-,7.48,U.S.,0,0,1,250
Abroms 2017.pdf,436345,Control,2590,10.93,,,,,13.05,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.95,-,7.25,U.S.,0,0,1,247
Ahluwalia 2006 (c) primary paper .pdf,263051,Nicotine Gum + Motivational Interviewing (MI),119,10.1,,,,,-,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,45.2,66.1,7.8,-,0,1,1,189
Ahluwalia 2006 (c) primary paper .pdf,263051,Placebo Gum + HE,122,15.4,,,,,-,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45.2,68.1,7.3,-,0,1,1,188
Ahluwalia 2006 (c) primary paper .pdf,263051,Placebo Gum + MI,121,6.9,,,,,-,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46.5,65.1,7.5,-,0,1,1,189
Ahluwalia 2006 (c) primary paper .pdf,263051,Nicotine Gum + Health Education (HE),120,18,,,,,-,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,43.5,68.3,7.5,-,0,1,1,189
Aimer 2017.pdf,423105,Control,2058,21,,,,,26.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,57,47,16.4,New Zealand,0,0,1,19
Aimer 2017.pdf,423105,Intervention,2057,26,,,,,26.1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,56,63,16.6,New Zealand,0,0,1,19
Akers 2019.pdf,437432,Intervention,2198,7,,,,,32.62,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44.7,-,-,multinational,0,0,0,544
Akers 2019.pdf,437432,Control,2199,6.6,,,,,32.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.7,-,-,-,0,0,0,544
Alessi 2014.pdf,263054,Monitoring and behavioural support,124,-,,1,,,-,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4,-,18.1,-,0,0,0,21
Alessi 2014.pdf,263054,Monitoring and behavioural support + Contingency Management (CM),123,-,,1,,,-,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,-,19.2,-,0,0,0,24
Alessi 2017.pdf,436347,mHealth monitoring,2614,16.3,,,,,24,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,45.5,60,20,-,0,0,0,45
Alessi 2017.pdf,436347,mHealth reinforcement,2613,21.1,,,,,24,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,44.4,55.6,17.6,-,0,0,0,45
Ames 2007.pdf,263055,Brief office (control),126,11,,,,,-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.8,56,18.2,-,0,0,0,99
Ames 2007.pdf,263055,Expressive writing plus brief office,125,11,,,,,-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.9,57,18.1,-,0,0,0,97
Ames 2014.pdf,263056,Standard intervention,128,9,,,,,-,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.4,43,13.4,-,0,0,0,47
Ames 2014.pdf,263056,Integrated intervention,127,21,,,,,-,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.1,46,13.3,-,0,0,0,48
An 2006.pdf,296254,Telephone care,452,13,,,,,52.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,57.2,8.40000000000001,26.2,-,1,0,0,407
An 2006.pdf,296254,Standard care,453,4.1,,,,,52.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,57.1,9.5,26.7,-,1,0,0,414
Anderson 2018.pdf,437478,NP,2275,10.3,,,,,30.45,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46,68,17.4,United States,0,0,0,1405
Anderson 2018.pdf,437478,NP+FI,2274,13.2,,,,,30.45,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.5,67.7,17.1,United States,0,0,0,1407
Anderson 2018.pdf,437478,UC,2276,9,,,,,30.45,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1,67.2,17.7,United States,0,0,0,1004
Auguston 2017.pdf,436348,Low-frequency text contact (LFTC),2622,27.7,,,,,26.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-,-,China,0,0,0,4000
Auguston 2017.pdf,436348,High-frequency text contact (HFTC),2621,27.7,,,,,26.1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-,-,China,0,0,0,4000
Aung 2019.pdf,437433,Control,2217,11.32,,,,,52.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-,28.75,-,Thailand,0,0,0,159
Aung 2019.pdf,437433,Intervention,2216,25.62,,,,,52.2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,-,28.93,-,Thailand,0,0,0,160
Ausems_2002_Short-Term Effects of a Randomized Computer-Based_10.1006pmed.2002.1021.pdf,263037,In-school and out-of-school intervention,93,14.2,,,,,-,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,50,-,Netherlands,0,0,0,984
Ausems_2002_Short-Term Effects of a Randomized Computer-Based_10.1006pmed.2002.1021.pdf,263037,Out-of-school intervention,95,13.1,,,,,-,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.7,52,-,Netherlands,0,0,0,807
Ausems_2002_Short-Term Effects of a Randomized Computer-Based_10.1006pmed.2002.1021.pdf,263037,In-school intervention,94,21.6,,,,,-,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,51,-,Netherlands,0,0,0,843
Ausems_2002_Short-Term Effects of a Randomized Computer-Based_10.1006pmed.2002.1021.pdf,263037,Control,96,23.5,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,49,-,Netherlands,0,0,0,715
Aveyard 2001.pdf,319571,control,618,20.2,,,,,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,England,0,0,0,4227
Aveyard 2001.pdf,319571,Transtheoretical model (TTM) intervention,617,21.1,,,,,8.7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,England,0,0,0,4125
Aveyard 2003.pdf,296255,Nurse,454,3.4,,,,,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,42,57.1,-,-,1,0,0,413
Aveyard 2003.pdf,296255,Control,457,2.2,,,,,12,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,53.2,-,-,0,0,0,690
Aveyard 2003.pdf,296255,Phone,455,3.1,,,,,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,57.2,-,-,0,0,0,685
Aveyard 2003.pdf,296255,Manual,456,3.4,,,,,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,55.8,-,-,0,0,0,683
Aveyard 2007.pdf,296332,Basic,412,7.7,,,,,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,42.9,52.7,-,UK,0,1,1,469
Aveyard 2007.pdf,296332,Weekly,411,6.6,,,,,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,44.3,50.2,-,UK,0,1,1,456
Aytemur 2012.pdf,321085,Control group,683,38.5,,,,,26.1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,46.3,53.8,20,-,0,0,0,52
Aytemur 2012.pdf,321085,Psychodrama group,682,50.8,,,,,26.1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,48,68.8,20,-,0,0,0,61
Baggett 2018.pdf,437480,Control arm,2278,8,,,,,8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45.1,56,16.2,United States,1,0,1,25
Baggett 2018.pdf,437480,Incentive arm,2277,48,,,,,8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48.1,48,15.6,United States,1,0,1,25
Bailey 2013.pdf,319572,Non-extended treatment,620,7,,,,,26,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,-,97.1,-,0,0,0,70
Bailey 2013.pdf,319572,Extended treatment,619,21,,,,,26,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,-,97.1,-,0,0,0,71
Baker 2006 (c) primary paper.pdf,263058,motivational interviewing/CBT with nicotine replacement therapy,129,3.4,,,,,-,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,37.24,-,-,Australia,0,1,1,108
Baker 2006 (c) primary paper.pdf,263058,Control,130,0.7,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.24,-,-,Australia,0,1,1,109
Baker 2015.pdf,423106,Healthy Lifestyles condition,2059,6.6,,,,,52.2,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,41.6,41,29.9,Australia,0,1,1,122
Baker 2015.pdf,423106,Telephone condition,2060,6.2,,,,,52.2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,41.6,41,27.2,Australia,0,1,1,113
Baker 2016.pdf,423132,Varenicline only,1942,19.1,,,,,52,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,48,52,17,United States,0,0,1,424
Baker 2016.pdf,423132,Nicotine patch only,1943,20.8,,,,,52,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,48,52,17,United States,0,0,1,241
Baker 2016.pdf,423132,Nicotine patch + nicotine lozenge (C-NRT),1941,20.2,,,,,52,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,48,52,17,United States,0,0,1,421
Baker_A_ 2018.pdf,437481,Telephone,2280,8,,,,,156.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42.7,41,27.2,-,0,0,0,235
Baker_A_ 2018.pdf,437481,Healthy Lifestyles,2279,11,,,,,156.6,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40.6,42,29.9,-,0,0,0,235
Baker_B_2018.pdf,437482,Control,2303,9.2,,,,,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26.1,-,1,-,0,0,0,509
Baker_B_2018.pdf,437482,Incentive,2302,14.7,,,,,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26.7,-,1,-,0,0,0,505
Baldassarri 2018.pdf,437483,Non-nicotine EC,2314,10,,,,,24,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,53.8,65,17,United States,0,0,1,20
Baldassarri 2018.pdf,437483,Nicotine EC,2313,20,,,,,24,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,52.2,40,17,United States,0,0,1,20
Baskerville 2018.pdf,436349,Crush The Crave (CTC),2623,12.6,,,,,26.1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,45.94,-,Canada,0,0,0,820
Baskerville 2018.pdf,436349,On the Road to Quitting (OnRQ) control,2624,12.1,,,,,26.1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-,45.94,-,Canada,0,0,0,779
Batra 2010.pdf,321091,Standard treatment (tx) - at risk smokers,685,-,,1,,,52.2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,46.39,-,23.7,Germany,0,0,0,95
Batra 2010.pdf,321091,Modified treatment (tx) - at risk smokers,684,-,,1,,,52.2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,46.39,-,23.7,Germany,0,0,0,98
Batra 2010.pdf,321091,Standard treatment (tx) - patched up controls,686,-,,1,,,52.2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,46.39,-,23.7,Germany,0,0,0,45
Batra 2010.pdf,321091,Standard treatment (tx) - lower risk smokers,687,-,,1,,,52.2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,46.39,-,23.7,Germany,0,0,0,30
Battaglia 2016.pdf,423478,MI-based home telehealth program,1963,69.6,,,,,26.1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,54.6,16.9,-,-,1,0,0,89
Battaglia 2016.pdf,423478,Usual care,1964,69.6,,,,,26.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,56.6,10.5,-,-,1,0,0,86
Begh 2015.pdf,423107,Intervention,2061,16.7,,,,,26.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.5,-,21.8,UK,0,0,1,60
Begh 2015.pdf,423107,Control,2062,15.5,,,,,26.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,-,19.8,UK,0,0,1,58
